Job Title,Position_Encoded,min_salary,max_salary,avg_salary,Rating,Location_state_binned,Headquarters_state_binned,works_at_headquarters,Size_cleaned,Company_age,Ownership_Grouped,Industry,Sector,Revenue
Data Science,2.0,53.0,91.0,72.0,3.8,Other,ca,No,Medium,52.0,Private,Aerospace & Defense,Industrial & Energy,75000000.0
Data Science,2.0,63.0,112.0,87.5,3.4,Other,Other,No,Very Large,41.0,Private,Health Care Services & Hospitals,Healthcare & Education,3500000000.0
Data Science,2.0,80.0,90.0,85.0,4.8,Other,Other,Yes,Medium,15.0,Private,Security Services,Finance & Consulting,300000000.0
Data Science,2.0,56.0,97.0,76.5,3.8,Other,Other,Yes,Large,60.0,Public Service,Energy,Industrial & Energy,
Data Science,2.0,86.0,143.0,114.5,2.9,ny,ny,Yes,Small,27.0,Private,Advertising & Marketing,Finance & Consulting,
Data Science,2.0,71.0,119.0,95.0,3.4,Other,Other,Yes,Medium,25.0,Public,Real Estate,Other Services,1500000000.0
Data Science,2.0,54.0,93.0,73.5,4.1,Other,Other,Yes,Medium,17.0,Private,Banks & Credit Unions,Finance & Consulting,
Data Science,2.0,86.0,142.0,114.0,3.8,ca,Other,No,Medium,20.0,Private,Consulting,Finance & Consulting,37500000.0
Research,2.0,38.0,84.0,61.0,3.3,ny,ny,Yes,Very Large,11.0,Public Service,Health Care Services & Hospitals,Healthcare & Education,
Data Science,2.0,120.0,160.0,140.0,4.6,ny,ny,Yes,Small,16.0,Private,Internet,Technology,300000000.0
Data Science,2.0,126.0,201.0,163.5,3.5,ca,ca,No,Medium,14.0,Private,Other Retail Stores,Consumer & Retail,1500000000.0
Data Science,2.0,64.0,106.0,85.0,4.1,va,va,No,Large,57.0,Public,Research & Development,Finance & Consulting,1500000000.0
Data Science,3.0,106.0,172.0,139.0,3.2,Other,Other,No,Very Large,63.0,Public,"Department, Clothing, & Shoe Stores",Consumer & Retail,10000000000.0
Data Analysis,2.0,46.0,85.0,65.5,4.1,Other,Other,Yes,Medium,13.0,Private,Advertising & Marketing,Finance & Consulting,
Data Science,2.0,83.0,144.0,113.5,3.7,ma,Other,No,Very Large,,Public,Biotech & Pharmaceuticals,Healthcare & Education,10000000000.0
Data Engineering,2.0,102.0,190.0,146.0,3.6,Other,Other,Yes,Large,30.0,Private,Motion Picture Production & Distribution,Other Services,
Others,2.0,67.0,137.0,102.0,3.9,ma,ma,Yes,Small,14.0,Public,Biotech & Pharmaceuticals,Healthcare & Education,3000000.0
